Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.5551,0.0090,0.5551,0.0115,0.5058,0.4942,0.0115,0.5100,0.5053,0.5147,0.9866,149.9066,0.8641,0.7607,0.1481
2,0.5410,0.0123,0.5410,0.0065,0.5030,0.4970,0.0061,0.6170,0.5017,0.8009,0.5122,851.3566,0.2282,0.1288,0.1340
3,0.5942,0.0268,0.5942,0.0349,0.5174,0.4826,0.0349,0.5263,0.5165,0.5364,0.9721,216.3747,0.8038,0.6720,0.1420
4,0.5551,0.0090,0.5551,0.0115,0.5058,0.4942,0.0115,0.5110,0.5053,0.5169,0.9834,166.8772,0.8487,0.7372,0.2064
5,0.5942,0.0268,0.5942,0.0349,0.5174,0.4826,0.0349,0.5263,0.5165,0.5364,0.9721,216.3747,0.8038,0.6720,0.1585
6,0.5538,0.0086,0.5538,0.0110,0.5055,0.4945,0.0110,0.5102,0.5051,0.5155,0.9851,158.3919,0.8564,0.7489,0.1226
7,0.5942,0.0268,0.5942,0.0349,0.5174,0.4826,0.0349,0.5263,0.5165,0.5364,0.9721,216.3747,0.8038,0.6720,0.1434
8,0.5936,0.0265,0.5936,0.0344,0.5172,0.4828,0.0344,0.5261,0.5163,0.5364,0.9717,217.7889,0.8026,0.6702,0.2310
9,0.5410,0.0055,0.5410,0.0062,0.5030,0.4970,0.0061,0.5286,0.5025,0.5575,0.9196,364.8671,0.6692,0.5029,0.1608
10,0.6897,0.1065,0.6897,0.1435,0.5717,0.4283,0.1435,0.5715,0.5715,0.5715,1.0000,2.8284,0.9974,0.9949,0.1588
,,,,,,,,,,,,,,,
Mean,0.5812,0.0258,0.5812,0.0329,0.5164,0.4836,0.0329,0.5353,0.5157,0.5623,0.9275,256.1141,0.7678,0.6560,0.1605
Std,0.0444,0.0298,0.0444,0.0409,0.0205,0.0205,0.0409,0.0337,0.0206,0.0858,0.1474,227.3748,0.2061,0.2220,0.0333
Str,58.12±4.44,2.58±2.98,58.12±4.44,3.29±4.09,51.64±2.05,48.36±2.05,3.29±4.09,53.53±3.37,51.57±2.06,56.23±8.58,92.75±14.74,25611.41±22737.48,76.78±20.61,65.60±22.20,0.16±0.03
