Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.6904,0.1073,0.6904,0.1444,0.5722,0.4278,0.1444,0.5719,0.5719,0.5719,1.0000,1.4142,0.9987,0.9974,0.1189
2,0.5929,0.0261,0.5929,0.0340,0.5170,0.4830,0.0339,0.5260,0.5160,0.5364,0.9713,219.2031,0.8013,0.6684,0.2169
3,0.5231,0.0205,0.5231,0.0021,0.5007,0.4993,0.0015,0.6562,0.5002,0.9535,0.1653,1049.3465,0.0487,0.0250,0.1276
4,0.6667,0.0819,0.6667,0.1105,0.5553,0.4447,0.1105,0.5556,0.5548,0.5563,0.9981,56.5685,0.9487,0.9024,0.1241
5,0.6897,0.1065,0.6897,0.1435,0.5717,0.4283,0.1435,0.5715,0.5715,0.5715,1.0000,2.8284,0.9974,0.9949,0.1196
6,0.5231,0.0205,0.5231,0.0021,0.5007,0.4993,0.0015,0.6562,0.5002,0.9535,0.1653,1049.3465,0.0487,0.0250,0.0915
7,0.5410,0.0123,0.5410,0.0065,0.5030,0.4970,0.0061,0.6170,0.5017,0.8009,0.5122,851.3566,0.2282,0.1288,0.1022
8,0.6897,0.1065,0.6897,0.1435,0.5717,0.4283,0.1435,0.5715,0.5715,0.5715,1.0000,2.8284,0.9974,0.9949,0.2460
9,0.5942,0.0268,0.5942,0.0349,0.5174,0.4826,0.0349,0.5263,0.5165,0.5364,0.9721,216.3747,0.8038,0.6720,0.1036
10,0.6897,0.1065,0.6897,0.1435,0.5717,0.4283,0.1435,0.5715,0.5715,0.5715,1.0000,2.8284,0.9974,0.9949,0.1227
,,,,,,,,,,,,,,,
Mean,0.6201,0.0615,0.6201,0.0765,0.5382,0.4618,0.0763,0.5824,0.5376,0.6623,0.7784,345.2095,0.6871,0.6404,0.1373
Std,0.0731,0.0433,0.0731,0.0656,0.0329,0.0329,0.0658,0.0467,0.0332,0.1715,0.3562,451.3513,0.4092,0.4209,0.0514
Str,62.01±7.31,6.15±4.33,62.01±7.31,7.65±6.56,53.82±3.29,46.18±3.29,7.63±6.58,58.24±4.67,53.76±3.32,66.23±17.15,77.84±35.62,34520.95±45135.13,68.71±40.92,64.04±42.09,0.14±0.05
